library,scheme,N,category,grid_depth,trial,step_index,step_name,max_abs_error,mean_abs_error,status
SEAL,CKKS,8192,1,2,3,2,after_multiply_1,1.06911e-08,9.56432e-10,measured
SEAL,CKKS,8192,1,2,3,3,after_relinearize_1,1.06911e-08,9.56432e-10,measured
SEAL,CKKS,8192,1,2,3,4,after_rescale_1,1.48419e-08,1.36233e-09,measured
SEAL,CKKS,8192,1,2,3,5,after_multiply_2,1.33171e-08,7.96425e-10,measured
SEAL,CKKS,8192,1,2,3,6,after_relinearize_2,1.33171e-08,7.96425e-10,measured
SEAL,CKKS,8192,1,2,3,7,after_rescale_2,1.59406e-08,1.22861e-09,measured
SEAL,CKKS,8192,1,2,4,0,fresh,8.46601e-09,8.74753e-10,measured
SEAL,CKKS,8192,1,2,4,1,after_add,1.46596e-08,1.23997e-09,measured
SEAL,CKKS,8192,1,2,4,2,after_multiply_1,1.14538e-08,9.44388e-10,measured
SEAL,CKKS,8192,1,2,4,3,after_relinearize_1,1.14538e-08,9.44388e-10,measured
SEAL,CKKS,8192,1,2,4,4,after_rescale_1,1.35251e-08,1.33885e-09,measured
SEAL,CKKS,8192,1,2,4,5,after_multiply_2,9.51737e-09,7.74577e-10,measured
SEAL,CKKS,8192,1,2,4,6,after_relinearize_2,9.51737e-09,7.74577e-10,measured
SEAL,CKKS,8192,1,2,4,7,after_rescale_2,1.04282e-08,1.24053e-09,measured
SEAL,CKKS,8192,1,2,5,0,fresh,6.90847e-09,8.71772e-10,measured
SEAL,CKKS,8192,1,2,5,1,after_add,9.4624e-09,1.23784e-09,measured
SEAL,CKKS,8192,1,2,5,2,after_multiply_1,1.41442e-08,9.35437e-10,measured
SEAL,CKKS,8192,1,2,5,3,after_relinearize_1,1.41442e-08,9.35437e-10,measured
SEAL,CKKS,8192,1,2,5,4,after_rescale_1,1.17102e-08,1.28421e-09,measured
SEAL,CKKS,8192,1,2,5,5,after_multiply_2,9.23549e-09,7.68518e-10,measured
SEAL,CKKS,8192,1,2,5,6,after_relinearize_2,9.23549e-09,7.68518e-10,measured
SEAL,CKKS,8192,1,2,5,7,after_rescale_2,1.47043e-08,1.23293e-09,measured
SEAL,CKKS,8192,1,2,6,0,fresh,9.63992e-09,8.77805e-10,measured
SEAL,CKKS,8192,1,2,6,1,after_add,1.41188e-08,1.23696e-09,measured
SEAL,CKKS,8192,1,2,6,2,after_multiply_1,1.09255e-08,9.36772e-10,measured
SEAL,CKKS,8192,1,2,6,3,after_relinearize_1,1.09255e-08,9.36772e-10,measured
SEAL,CKKS,8192,1,2,6,4,after_rescale_1,1.31443e-08,1.33358e-09,measured
SEAL,CKKS,8192,1,2,6,5,after_multiply_2,7.83827e-09,7.8055e-10,measured
SEAL,CKKS,8192,1,2,6,6,after_relinearize_2,7.83827e-09,7.8055e-10,measured
SEAL,CKKS,8192,1,2,6,7,after_rescale_2,1.02032e-08,1.24037e-09,measured
SEAL,CKKS,8192,1,2,7,0,fresh,6.24263e-09,8.8008e-10,measured
SEAL,CKKS,8192,1,2,7,1,after_add,1.02559e-08,1.25302e-09,measured
SEAL,CKKS,8192,1,2,7,2,after_multiply_1,9.61849e-09,9.33753e-10,measured
SEAL,CKKS,8192,1,2,7,3,after_relinearize_1,9.61849e-09,9.33753e-10,measured
SEAL,CKKS,8192,1,2,7,4,after_rescale_1,1.11331e-08,1.2952e-09,measured
SEAL,CKKS,8192,1,2,7,5,after_multiply_2,1.12442e-08,7.564e-10,measured
SEAL,CKKS,8192,1,2,7,6,after_relinearize_2,1.12442e-08,7.564e-10,measured
SEAL,CKKS,8192,1,2,7,7,after_rescale_2,1.46833e-08,1.21197e-09,measured
SEAL,CKKS,8192,1,2,8,0,fresh,7.70394e-09,8.93382e-10,measured
SEAL,CKKS,8192,1,2,8,1,after_add,1.0892e-08,1.24007e-09,measured
SEAL,CKKS,8192,1,2,8,2,after_multiply_1,1.04309e-08,9.40275e-10,measured
SEAL,CKKS,8192,1,2,8,3,after_relinearize_1,1.04309e-08,9.40275e-10,measured
SEAL,CKKS,8192,1,2,8,4,after_rescale_1,1.14157e-08,1.30343e-09,measured
SEAL,CKKS,8192,1,2,8,5,after_multiply_2,1.11456e-08,7.59324e-10,measured
SEAL,CKKS,8192,1,2,8,6,after_relinearize_2,1.11456e-08,7.59324e-10,measured
SEAL,CKKS,8192,1,2,8,7,after_rescale_2,1.39829e-08,1.2084e-09,measured
SEAL,CKKS,8192,1,2,9,0,fresh,8.46736e-09,8.76291e-10,measured
SEAL,CKKS,8192,1,2,9,1,after_add,1.04521e-08,1.21987e-09,measured
SEAL,CKKS,8192,1,2,9,2,after_multiply_1,1.08803e-08,9.26312e-10,measured
SEAL,CKKS,8192,1,2,9,3,after_relinearize_1,1.08803e-08,9.26312e-10,measured
SEAL,CKKS,8192,1,2,9,4,after_rescale_1,1.86992e-08,1.30224e-09,measured
SEAL,CKKS,8192,1,2,9,5,after_multiply_2,8.9153e-09,7.48186e-10,measured
SEAL,CKKS,8192,1,2,9,6,after_relinearize_2,8.9153e-09,7.48186e-10,measured
SEAL,CKKS,8192,1,2,9,7,after_rescale_2,1.05224e-08,1.1899e-09,measured
SEAL,CKKS,8192,3,1,0,0,fresh,8.02785e-09,8.60768e-10,measured
SEAL,CKKS,8192,3,1,0,1,after_add,1.18927e-08,1.21774e-09,measured
SEAL,CKKS,8192,3,1,0,2,after_multiply_1,1.00658e-08,9.38954e-10,measured
SEAL,CKKS,8192,3,1,0,3,after_relinearize_1,1.00658e-08,9.38954e-10,measured
SEAL,CKKS,8192,3,1,0,4,after_rescale_1,3.04643e-05,3.53229e-06,measured
SEAL,CKKS,8192,3,1,1,0,fresh,8.98616e-09,8.71483e-10,measured
SEAL,CKKS,8192,3,1,1,1,after_add,9.82687e-09,1.21143e-09,measured
