scheme,N,category,operation,batch1_per_item_ms,batch1_n,batch100_per_item_ms,batch100_n,diff,margin_pct,margin,se,df,ci_low,ci_high,p_lower,p_upper,verdict,real_difference_outside_margin
BGV,8192,5,encrypt,2.9383227,100,1.817791,10,-1.1205317000000001,0.1,0.29383227,0.010380548024063999,107.0559205921738,-1.1377552271737663,-1.103308172826234,1.0,3.978626874583379e-122,equivalence_not_established,True
CKKS,2048,1,add,0.00497487,100,0.005485548,10,0.0005106779999999997,0.1,0.000497487,0.00014145838749214835,37.30184837072297,0.00027207403122119156,0.0007492819687788077,9.183343241347093e-09,0.5368980066415188,equivalence_not_established,False
CKKS,2048,1,decrypt,0.01210126,100,0.012699099999999998,10,0.0005978399999999971,0.1,0.0012101260000000002,0.0001494006279110032,63.197244655118475,0.00034844187671340403,0.0008472381232865901,2.0794037189266954e-18,6.042744574154725e-05,equivalent_within_margin,False
CKKS,2048,1,encrypt,0.40729447,100,0.41683889999999996,10,0.009544429999999937,0.1,0.040729447,0.0019439361817139907,21.179443326577474,0.006200721666285197,0.012888138333714678,8.26677888859442e-18,1.2560189382880342e-13,equivalent_within_margin,False
CKKS,2048,3,add,0.00527102,100,0.005897448,10,0.0006264279999999992,0.1,0.0005271020000000001,0.00021929569257184614,19.81178059573044,0.00024803032461143007,0.0010048256753885684,1.9528246657313857e-05,0.6722404860391924,equivalence_not_established,False
CKKS,2048,3,decrypt,0.01324251,100,0.0127389,10,-0.0005036100000000016,0.1,0.0013242510000000002,0.00020518736182702712,93.37882593326006,-0.0008444951219894497,-0.00016272487801055342,6.34693922649119e-05,2.0229671744102602e-14,equivalent_within_margin,False
CKKS,2048,3,encrypt,0.40812345,100,0.518257,10,0.11013354999999997,0.1,0.040812345,0.033481567795896096,9.028470627093666,0.04878008296360786,0.17148701703639208,0.0007297841587237637,0.9658903687051356,equivalence_not_established,True
CKKS,2048,5,add,0.00509413,100,0.00569268,10,0.0005985500000000006,0.1,0.000509413,0.0004021176680731221,10.256374131429482,-0.0001284283849689469,0.001325528384968948,0.009926587807841392,0.5855385049145878,equivalence_not_established,False
CKKS,2048,5,decrypt,0.01195133,100,0.012568190000000002,10,0.0006168600000000021,0.1,0.0011951330000000001,0.00022198227040405146,16.393103709303453,0.00022987396148269014,0.001003846038517314,1.7957835152560731e-07,0.009437377372078375,equivalent_within_margin,False
CKKS,2048,5,encrypt,0.24921973,100,0.2732157,10,0.023995970000000005,0.1,0.024921973,0.00852361212515397,9.360369563281754,0.008439435978091806,0.03955250402190821,0.00012078549856337785,0.4578908110098423,equivalence_not_established,False
CKKS,4096,1,add,0.0192068,100,0.020082589999999997,10,0.0008757899999999978,0.1,0.0019206800000000001,0.0006576395915566736,32.8250805020192,-0.00023734441923275854,0.001988924419232754,8.243968956911427e-05,0.06084069206268379,equivalence_not_established,False
CKKS,4096,1,decrypt,0.04774658,100,0.04904846,10,0.0013018800000000053,0.1,0.004774658,0.00039503458135288163,65.14201677193861,0.0006427318627287215,0.001961028137271289,1.1421042110703231e-23,5.683064368910994e-13,equivalent_within_margin,False
CKKS,4096,1,encrypt,1.0965217,100,1.092313,10,-0.004208699999999954,0.1,0.10965217000000001,0.0072499480214855624,65.78902551810792,-0.01630412670779216,0.00788672670779225,1.5621476837317863e-22,3.0413463305883523e-24,equivalent_within_margin,False
CKKS,4096,1,multiply,0.15044494,100,0.1454183,10,-0.005026639999999999,0.1,0.015044494,0.0007379502009313,100.43503272135227,-0.0062517606330880415,-0.0038015193669119563,9.243208219613773e-25,1.9980465133517475e-48,equivalent_within_margin,False
CKKS,4096,1,relinearize,0.57058187,100,0.5663491,10,-0.004232769999999997,0.1,0.05705818700000001,0.006200080208737527,22.100094281185363,-0.0148770855215983,0.006411545521598306,9.849520332890468e-09,7.107500590688269e-10,equivalent_within_margin,False
CKKS,4096,3,add,0.00915381,100,0.010833119,10,0.0016793090000000004,0.1,0.000915381,0.00046428655829185383,12.547190770627568,0.0008548133468512094,0.0025038046531487912,5.0138064617709404e-05,0.9376522933461907,equivalence_not_established,False
