library,scheme,N,category,scenario,operation,batch_size,metric,mean,std,ci_low,ci_high,median,iqr_low,iqr_high,flag
SEAL,BFV,2048,1,edge_batch,encrypt,1,energy_pkg_j_per_op,0.10363320952380953,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,edge_batch,encrypt,1,peak_memory_mb,5.5703125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,edge_batch,encrypt,10,latency_ms,3.352935,0.04272792035175836,3.3369801323297423,3.3688898676702577,3.3562149999999997,3.3342525,3.3810425,reduced_reps_at_batch_size
SEAL,BFV,2048,1,edge_batch,encrypt,10,throughput_items_per_sec,2982.461634359151,,,,,,,reduced_reps_at_batch_size
SEAL,BFV,2048,1,edge_batch,encrypt,10,energy_pkg_j_per_op,0.03792898484848485,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,edge_batch,encrypt,10,peak_memory_mb,5.67578125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,edge_batch,encrypt,100,latency_ms,33.76514,0.219676141424396,33.60799315515507,33.92228684484493,33.698499999999996,33.626175,33.846500000000006,reduced_reps_at_batch_size
SEAL,BFV,2048,1,edge_batch,encrypt,100,throughput_items_per_sec,2961.63439571108,,,,,,,reduced_reps_at_batch_size
SEAL,BFV,2048,1,edge_batch,encrypt,100,energy_pkg_j_per_op,0.016192323333333335,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,edge_batch,encrypt,100,peak_memory_mb,6.9921875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,edge_batch,multiply,1,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,2048,1,edge_batch,multiply,10,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,2048,1,edge_batch,multiply,100,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,2048,1,edge_batch,relinearize,1,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,2048,1,edge_batch,relinearize,10,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,2048,1,edge_batch,relinearize,100,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,2048,3,edge_batch,add,1,latency_ms,0.00803164,0.0010188689958513168,0.007829474286698598,0.008233805713301401,0.0079,0.0078125,0.007955,HIGH_VARIANCE
SEAL,BFV,2048,3,edge_batch,add,1,throughput_items_per_sec,124507.57255056255,,,,,,,HIGH_VARIANCE
