library,scheme,N,category,scenario,operation,fill_pct,n_real,slot_count,metric,mean,std,ci_low,ci_high,median,iqr_low,iqr_high,flag
SEAL,BGV,8192,1,packing,multiply,0.5,4096,8192,energy_pkg_j_per_op,0.28712605714285716,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,packing,multiply,0.5,4096,8192,peak_memory_mb,19.03515625,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,packing,multiply,1.0,8192,8192,latency_ms,0.47349031,0.025513270201557404,0.4684279236775665,0.4785526963224335,0.46795050000000005,0.45865525,0.48200699999999996,HIGH_VARIANCE
SEAL,BGV,8192,1,packing,multiply,1.0,8192,8192,latency_per_value_ms,5.779911010742188e-05,,,,,,,derived_not_measured
SEAL,BGV,8192,1,packing,multiply,1.0,8192,8192,throughput_items_per_sec,17301304.434297714,,,,,,,derived_not_measured
SEAL,BGV,8192,1,packing,multiply,1.0,8192,8192,energy_pkg_j_per_op,0.2674662,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,packing,multiply,1.0,8192,8192,peak_memory_mb,19.0703125,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,packing,multiply,0.0,1,8192,latency_ms,0.46846208,0.028612750364263775,0.46278468956957175,0.47413947043042826,0.463156,0.45390625,0.47425875,HIGH_VARIANCE
SEAL,BGV,8192,1,packing,multiply,0.0,1,8192,latency_per_value_ms,0.46846208,,,,,,,derived_not_measured
SEAL,BGV,8192,1,packing,multiply,0.0,1,8192,throughput_items_per_sec,2134.644494598154,,,,,,,derived_not_measured
SEAL,BGV,8192,1,packing,multiply,0.0,1,8192,energy_pkg_j_per_op,0.26120199047619047,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,packing,multiply,0.0,1,8192,peak_memory_mb,19.05078125,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,add,0.1,410,4096,latency_ms,0.0698002,0.016373305559027867,0.06655138095562728,0.07304901904437273,0.0656965,0.059189000000000005,0.07523925,HIGH_VARIANCE
SEAL,CKKS,8192,1,packing,add,0.1,410,4096,latency_per_value_ms,0.00017024439024390246,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,add,0.1,410,4096,throughput_items_per_sec,5873908.6707487935,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,add,0.1,410,4096,energy_pkg_j_per_op,0.3115112476190476,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,add,0.1,410,4096,peak_memory_mb,17.30859375,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,add,0.5,2048,4096,latency_ms,0.06322127,0.011444659669320257,0.06095040122789973,0.06549213877210026,0.0607025,0.0547485,0.06859875,HIGH_VARIANCE
SEAL,CKKS,8192,1,packing,add,0.5,2048,4096,latency_per_value_ms,3.08697607421875e-05,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,add,0.5,2048,4096,throughput_items_per_sec,32394161.01574676,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,add,0.5,2048,4096,energy_pkg_j_per_op,0.2528352285714286,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,add,0.5,2048,4096,peak_memory_mb,17.265625,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,add,1.0,4096,4096,latency_ms,0.05859007,0.01014575242093802,0.056576932605977584,0.06060320739402242,0.055137000000000005,0.05227425,0.06214,HIGH_VARIANCE
SEAL,CKKS,8192,1,packing,add,1.0,4096,4096,latency_per_value_ms,1.430421630859375e-05,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,add,1.0,4096,4096,throughput_items_per_sec,69909457.3534389,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,add,1.0,4096,4096,energy_pkg_j_per_op,0.2541458285714286,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,add,1.0,4096,4096,peak_memory_mb,17.30859375,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,add,0.0,1,4096,latency_ms,0.06483721,0.013772488134687247,0.062104449557763085,0.06756997044223693,0.0616395,0.0546635,0.06836375,HIGH_VARIANCE
SEAL,CKKS,8192,1,packing,add,0.0,1,4096,latency_per_value_ms,0.06483721,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,add,0.0,1,4096,throughput_items_per_sec,15423.24230175851,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,add,0.0,1,4096,energy_pkg_j_per_op,0.2713664380952381,,,,,,,n=1_invocation_not_repeated
